# English-Arabic translations created from the Universal dictionary at 2010-02-01T05:09:30-07:00
# (c) Copyright 2010 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 نيسان % أبريل 	 time 
 north ; due north ; northward ; N 	 شمال 	 logistics 
 nose ; olfactory organ 	 أنف 	 anatomy 
 not ; non 	 لا 	 adverb 
 note ; annotation ; notation 	 تعليق 	 communication 
 note ; musical note ; tone 	 نوتة 	 art 
 nothing ; nil ; nix ; nada ; null ; aught ; cipher ; cypher ; goose egg ; naught ; zero ; zilch ; zip ; zippo 	 صِفر، لا شيء 	 mathematics 
 now 	 الآن 	 time 
 now ; at present 	 حالياً 	 adverb 
 number 	 رقم 	 verb 
 number 	 عدد 	 linguistics 
 nurse 	 ممرض 	 profession 
 nut 	 جوز 	 food 
 nut 	 علبة مجوفة 	 object 
 obtain 	 ينال، يحصل على 	 verb 
 obviously ; evidently ; manifestly ; patently ; apparently ; plainly ; plain 	 كما يبدو بِوضوح 	 adverb 
 occupation ; business ; job ; line of work ; line 	 مِهنه، وظيفه 	 business 
 off 	 مطفأ 	 adjective 
 offer 	 أهدى 	 verb 
 offer ; offering 	 تقديم 	 abstract 
 office ; business office 	 مكتب 	 business 
 officeholder ; officer 	 ضابِط شرطه 	 profession 
 oil 	 زيت 	 material 
 old 	 قديم 	 adjective 
 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 رائحة 	 nature 
 on 	 على 	 preposition 
 on 	 مشغل 	 adjective 
 one ; 1 ; i ; ane 	 واحد 	 number 
 one-half ; half 	 نصف 	 mathematics 
 onto 	 على 	 preposition 
 open ; open up 	 فتح 	 verb 
 open ; opened 	 مفتوح 	 adjective 
 open ; unfastened 	 مفتوح 	 adjective 
 open fire ; fire 	 أطلق النار 	 verb 
 operation 	 عملية 	 abstract 
 operation ; functioning ; performance 	 إجراء 	 mathematics 
 operation ; surgery ; surgical operation ; surgical procedure ; surgical process 	 عملية ; عملية جراحية 	 medicine 
 opinion ; sentiment ; persuasion ; view ; thought 	 رأي 	 communication 
 opportunity ; chance 	 فرصة 	 abstract 
 opposite 	 مضاد 	 adjective 
 option ; alternative ; choice 	 خيار بين إثنين 	 abstract 
 or 	 أو 	 conjunction 
 orange 	 برتقال 	 food 
 orange ; orangish 	 برتقالي 	 color 
 orchestra 	 أوركسترا 	 art 
 order 	 أمر 	 society 
 order 	 حكم 	 linguistics 
 order ; monastic order 	 شريعة 	 society 
 order ; tell ; enjoin ; say 	 أمر 	 verb 
 organization ; organisation 	 منظمة 	 society 
 original 	 أصلي، أولي 	 adjective 
 other 	 آخر 	 adjective 
 our 	 ـنا 	 pronoun 
 outburst ; burst ; flare-up 	 مباغتة 	 abstract 
 outside 	 خارج 	 adverb 
 outside ; exterior 	 خارِج، الجِهة الخارجِيه 	 mathematics 
 oven 	 فرن 	 device 
 own ; have ; possess 	 ملك 	 verb 
 owner ; possessor 	 مالك 	 business 
 package ; bundle ; packet ; parcel 	 حزمة 	 object 
 page 	 صفحة 	 object 
 pain ; hurting 	 ألم 	 medicine 
 paint ; pigment 	 طلاء 	 art 
 painting ; picture 	 الصورة 	 art 
 paper 	 ورق 	 material 
 parallel 	 متوازي 	 adjective 
 parent 	 أحد الوالِدين 	 family 
 park ; commons ; common ; green 	 متنزه 	 city 
 part ; portion ; component part ; component ; constituent 	 جزء 	 abstract 
 part ; section ; division 	 قسم 	 mathematics 
 particular 	 خاص 	 adjective 
 party 	 حفله 	 society 
 pass ; laissez passer 	 جواز مرور 	 object 
 passenger ; rider 	 راكب 	 transport 
 passport 	 جواز سفر 	 object 
 past 	 ماضي 	 adjective 
 past ; past times ; yesteryear 	 ماضي 	 time 
 patient 	 صبور 	 adjective 
 patient 	 مريض 	 medicine 
 pause ; intermission ; break ; interruption ; suspension 	 إستِراحه، فترة إستِراحه 	 time 
 payment 	 دفع 	 business 
 peace 	 سلام 	 abstract 
 pen 	 قلم 	 object 
 pencil 	 قلم رصاص 	 object 
 people 	 أشخاص 	 society 
 percentage ; percent ; per centum ; pct 	 نسبة مئوية 	 mathematics 
 person ; individual ; someone ; somebody ; mortal ; soul 	 شخص 	 family 
 personal 	 خصوصي 	 adjective 
 petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 نفط 	 material 
 phase ; stage 	 مرحلة 	 time 
 photographer ; lensman 	 مصور 	 profession 
 physical 	 جسدي 	 adjective 
 physical 	 فيزيائي 	 adjective 
 picture ; image ; icon ; ikon 	 صورة 	 art 
 piece 	 قِطعه 	 object 
 pilot ; airplane pilot 	 قبطان 	 profession 
 pin 	 دبوس 	 object 
 pink ; pinkish 	 وردي 	 color 
 pipe ; pipage ; piping 	 أنبوب 	 object 
 pivot ; pin 	 محور 	 object 
 plain ; field ; champaign 	 حقل 	 nature 
 plan 	 يقرِر على ، ينوي، يعتزِم 	 verb 
 plan ; program ; programme 	 مشروع 	 abstract 
 plant ; flora ; plant life 	 نبات 	 house 
 plant ; works ; industrial plant 	 مصنع 	 city 
 plate 	 صحن 	 food 
 play 	 لعب 	 verb 
 player ; participant 	 لاعب 	 sports 
 please 	 من فضلك (min fáɖlak) 	 adverb 
 pleasure ; pleasance 	 سرور 	 abstract 
 plow ; plough ; turn 	 حرث 	 verb 
 poem ; verse form 	 قصيده 	 art 
 poetry ; poesy ; verse 	 شعر 	 art 
 point ; dot 	 نقطة 	 linguistics 
 poison 	 سمم 	 verb 
 poison ; toxicant ; poisonous substance 	 سم 	 material 
 police ; police force ; constabulary ; law 	 شرطه 	 society 
 policeman ; police officer ; officer 	 شرطي 	 profession 
 policy 	 سِياسه 	 society 
 polish ; smooth ; smoothen ; shine 	 لمع 	 verb 
 political 	 سياسي 	 adjective 
 politician ; politico ; pol ; political leader 	 سياسي، رجل سياسه 	 profession 
 poor 	 فقير 	 adjective 
 populace ; public ; world 	 جمهور 	 society 
 popular ; pop 	 شعبي، مفهوم عند أكثرية الشعب 	 adjective 
 population 	 شعب 	 society 
 position ; place 	 موضع 	 linguistics 
 possible 	 ممكن 	 adjective 
 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 ربما 	 adverb 
 postage ; postage stamp ; stamp 	 طابع بريد 	 object 
 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 بطاطس 	 food 
 potent ; strong ; stiff 	 قوي 	 adjective 
 powder ; pulverization ; pulverisation 	 مسحوق 	 material 
 power ; powerfulness 	 قوة 	 abstract 
 practice 	 تمرين 	 art 
 precisely ; exactly ; just 	 بالضبط 	 adverb 
 present 	 حالي 	 adjective 
 present 	 هدية 	 object 
 present ; nowadays 	 حاضر 	 time 
 president 	 رئيس الدوله 	 profession 
 press 	 يضغط بإصبعِه 	 verb 
 pressure ; pressure level ; force per unit area 	 ضغط 	 nature 
 prevent ; forestall ; foreclose ; preclude ; forbid 	 يمنع 	 verb 
 previous ; old 	 سابِق 	 adjective 
 price 	 ثمن 	 verb 
 price ; cost ; toll 	 ثمن 	 business 
 price ; terms ; damage 	 ثمن 	 transport 
 principle ; rule 	 قاعِده 	 linguistics 
 print ; impress 	 طبع 	 verb 
 prison ; prison house 	 سجن 	 city 
 private 	 خاص 	 adjective 
 probable ; likely 	 تقريبي 	 adjective 
 probably ; likely ; in all likelihood ; in all probability ; belike 	 من المحتمل 	 adverb 
 problem ; job 	 مشكلة 	 mathematics 
 procedure ; process 	 إجراء 	 mathematics 
 process ; physical process 	 إجراء 	 nature 
 process ; treat 	 أجرى 	 verb 
 produce ; make ; create 	 أنتج 	 verb 
 product ; production 	 منتوج 	 object 
 production 	 الإنتاج 	 abstract 
 professional 	 مِهني 	 adjective 
 professional ; professional person 	 محترف 	 profession 
 profit ; turn a profit 	 استفاد 	 verb 
 program ; programme ; computer program ; computer programme 	 برنامج 	 abstract 
 project ; projection 	 مشروع، خطه 	 abstract 
 promise ; hope 	 أمل 	 relations 
 pronunciation 	 لفظ 	 linguistics 
 property 	 خاصية 	 abstract 
 property ; belongings ; holding 	 ملكية 	 society 
 proposal 	 إقتِراح، عرض 	 abstract 
 propose ; suggest ; advise 	 يقترِح 	 verb 
 protest 	 احتج 	 verb 
 protest ; protestation 	 احتجاج 	 communication 
 prototype ; paradigm ; epitome ; image 	 نموذج أولي 	 linguistics 
 public 	 عمومي 	 travelling 
 publish ; bring out ; put out ; issue ; release 	 ينشر، يصدِر 	 verb 
 pull ; draw ; force 	 سحب 	 verb 
 pump 	 ضخ 	 verb 
 pump 	 مضخة 	 device 
 punishment ; penalty ; penalization ; penalisation 	 عقاب 	 society 
 purple ; violet ; purplish 	 بنفسجي 	 color 
 push ; force 	 دفع 	 verb 
 push button ; push ; button 	 زر 	 object 
 put ; set ; place ; pose ; position ; lay 	 وضع 	 verb 
 quality 	 جودة 	 abstract 
 quality ; character ; lineament 	 شخصِيه 	 abstract 
 question ; inquiry ; enquiry ; query ; interrogation 	 سؤال 	 linguistics 
 quiet 	 ساكن 	 adjective 
 rain ; pelting 	 وابِلٌ من 	 nature 
 rain ; rain down 	 أمطر 	 verb 
 rain ; rainfall 	 مطر 	 nature 
 raise ; lift ; elevate ; get up ; bring up 	 رفع ; ارتفع 	 verb 
 rate ; charge per unit 	 نسبة 	 business 
 rate ; rank ; range ; order ; grade ; place 	 قيم 	 verb 
 reach ; make ; attain ; hit ; arrive at ; gain 	 وصل 	 verb 
 reaction 	 ردة فعل 	 abstract 
 read 	 يقرأ 	 verb 
 ready 	 جاهز 	 adjective 
 real ; existent 	 حقيقي 	 adjective 
 rear ; raise ; bring up ; nurture ; parent 	 ربى 	 verb 
 reason 	 سبب 	 communication 
 reason 	 فكر منطقياً 	 verb 
 reason ; ground 	 سبب 	 communication 
 receive ; have 	 يستلِم 	 verb 
 recent 	 جديد 	 adjective 
 recently ; late ; lately ; of late ; latterly 	 مؤخرا 	 adverb 
 record 	 رقم قياسي 	 abstract 
 record ; tape 	 سجل 	 verb 
 red ; reddish ; ruddy ; blood-red ; carmine ; cerise ; cherry ; cherry-red ; crimson ; ruby ; ruby-red ; scarlet 	 أحمر 	 color 
 reduce ; cut down ; cut back ; trim ; trim down ; trim back ; cut ; bring down 	 يقلِل 	 verb 
 reflect ; reverberate 	 يعكِس 	 verb 
 refuse ; reject ; pass up ; turn down ; decline 	 رفض 	 verb 
 regular 	 اعتيادي 	 adjective 
 relation 	 علاقة 	 communication 
 relationship ; human relationship 	 قرابة 	 society 
 religion ; faith ; organized religion 	 دين 	 society 
 religion ; faith ; religious belief 	 إيمان 	 society 
 remainder ; balance ; residual ; residue ; residuum ; rest 	 باقي 	 business 
 remember ; retrieve ; recall ; call back ; call up ; recollect ; think 	 يتذكر 	 verb 
 remove ; take ; take away ; withdraw 	 يزيل، يبعِد 	 verb 
 render ; return 	 أعاد 	 verb 
 report 	 يقدِم تقريرا 	 verb 
 represent ; stand for ; correspond 	 يمثِل 	 verb 
 representative 	 ممثل 	 profession 
 request ; asking 	 طلب 	 communication 
 request ; bespeak ; call for ; quest 	 طلب 	 verb 
 research 	 بحث 	 abstract 
 respect ; honor ; honour ; abide by ; observe 	 احترم 	 verb 
 respite ; recess ; break ; time out 	 توقف قصير 	 abstract 
 responsibility ; responsibleness 	 مسؤولِيه 	 abstract 
 responsible 	 مسؤول 	 adjective 
 rest 	 ارتاح 	 verb 
 rest ; ease ; repose ; relaxation 	 راحة 	 abstract 
 restaurant ; eating house ; eating place ; eatery 	 المطعم 	 city 
 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 حدد 	 verb 
 result ; resultant ; final result ; outcome ; termination 	 نتيجة 	 mathematics 
 return ; homecoming 	 عوده 	 abstract 
 reverse ; contrary ; opposite 	 مضاد 	 abstract 
 rhythm ; beat ; musical rhythm 	 إيقاع 	 art 
 rice 	 أرز 	 food 
 rice 	 أرز 	 food 
 right 	 تماماً 	 adverb 
 right 	 حق 	 society 
 right 	 مباشرة 	 adverb 
 right 	 يمين 	 adjective 
 rigid ; stiff 	 قاسي 	 adjective 
 ring ; band 	 خاتم 	 clothes 
 rise ; rising ; ascent ; ascension 	 صعود 	 abstract 
 rival ; challenger ; competitor ; competition ; contender 	 منافِس 	 business 
 river 	 نهر 	 nature 
 road ; route 	 طريق 	 transport 
 rock ; stone 	 حجر 	 nature 
 roof 	 سقف 	 house 
 room 	 غرفة 	 house 
 root 	 جذر 	 mathematics 
 root 	 جذر 	 nature 
 rope 	 حبل 	 transport 
 rough ; unsmooth 	 خشن 	 adjective 
 round ; circular 	 دائري 	 adjective 
 round off ; round down ; round out ; round 	 دور 	 verb 
 rug ; carpet ; carpeting 	 سجادة 	 house 
 rule ; regulation 	 قاعدة 	 linguistics 
 run 	 جرى 	 verb 
 sad 	 حزين 	 adjective 
 safe 	 آمن 	 adjective 
 safe 	 خزنة 	 object 
 sail ; canvas ; canvass ; sheet 	 شراع ; حاجز معدني 	 object 
 sailor ; crewman 	 بحار 	 profession 
 salad 	 سلطة 	 food 
 sale 	 بيع 	 business 
 salt 	 ملح 	 verb 
 salt ; table salt ; common salt 	 ملح 	 food 
 salvage ; salve ; relieve ; save 	 الإنقاذ 	 verb 
 same 	 مثل 	 adjective 
 sand 	 رمل 	 material 
 sandwich 	 السندويتش 	 food 
 sauce 	 صلصة 	 food 
 save ; preserve 	 يوفِر، يدخِر 	 verb 
 school ; schoolhouse 	 مدرسة 	 city 
 science ; scientific discipline 	 علم 	 society 
 scientist 	 العالم 	 profession 
 scissors ; pair of scissors 	 مقص 	 object 
 scope ; range ; reach ; orbit ; compass ; ambit 	 مجال 	 abstract 
 screen ; cover ; covert ; concealment 	 غطاء 	 object 
 screw 	 فك 	 verb 
 sea 	 بحر 	 nature 
 season 	 موسِم 	 nature 
 season ; flavor ; flavour 	 يعطي نكهةً 	 verb 
 seat 	 مقعد للجلوس 	 house 
 seat ; place 	 مقعد 	 abstract 
 second ; 2nd ; 2d 	 ثاني 	 adjective 
 second ; sec ; s 	 ثانية 	 time 
 secret 	 سر 	 communication 
 secretary ; secretarial assistant 	 سكرتير 	 profession 
 see 	 شاهد 	 verb 
 seed 	 بذرة 	 food 
 sell 	 باع 	 verb 
 sentence 	 جملة 	 linguistics 
 separate 	 مفصول 	 adjective 
 serious 	 جاد 	 adjective 
 servant ; retainer 	 خادم 	 profession 
 serve 	 يخدم في الجيش 	 verb 
 service 	 خِدمه 	 sports 
 set 	 'طقم 	 sports 
 set 	 مجموعة 	 mathematics 
 seven ; 7 ; vii 	 سبعة 	 number 
 seventeen ; 17 ; xvii 	 سبعة عشر (sábʕaʈ ʕášar) 	 number 
 seventy ; 70 ; lxx 	 سبعون 	 number 
 several 	 عِدة 	 adjective 
 sew ; run up ; sew together ; stitch 	 عقد 	 verb 
 sex 	 جنس 	 nature 
 sexual activity ; sexual practice ; sex ; sex activity 	 جنس 	 relations 
 share 	 سهم 	 business 
 share 	 يتشارك 	 verb 
 share ; portion ; part ; percentage 	 جزء 	 society 
 she 	 هي 	 pronoun 
 sheep 	 خروف 	 animal 
 shelf 	 رف 	 house 
 ship 	 سفينة 	 transport 
 shirt 	 قميص 	 clothes 
 shock ; offend ; scandalize ; scandalise ; appal ; appall ; outrage 	 صدم 	 verb 
 shoe 	 حذاء 	 clothes 
 shop ; store 	 دكان 	 business 
 short 	 قصير 	 adjective 
 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 صرخ 	 verb 
 show ; demo ; exhibit ; present ; demonstrate 	 عرض 	 verb 
 shower 	 حمام ; دش 	 house 
 shroud ; enshroud ; hide ; cover 	 غطى 	 verb 
 shut ; unopen ; closed 	 مغلق 	 adjective 
 side 	 جانب 	 mathematics 
 sign 	 إشارة 	 linguistics 
 silence ; quiet 	 سكون 	 abstract 
 silent ; soundless ; still 	 ساكن 	 adjective 
 silk 	 حرير 	 material 
 silver 	 فضي 	 adjective 
 silver ; Ag ; atomic number 47 	 فضة 	 material 
 since 	 منذ 	 preposition 
 sincere 	 مخلص 	 adjective 
 sing 	 غنى 	 verb 
 singer ; vocalist ; vocalizer ; vocaliser 	 مغنٍ 	 profession 
 single 	 وحيد، مفرد 	 adjective 
 sink 	 المغسلة 	 house 
 sister ; sis 	 أخت 	 family 
 sit ; sit down 	 جلس 	 verb 
 situation ; state of affairs 	 حاله، وضع 	 abstract 
 six ; 6 ; vi ; half dozen ; half-dozen 	 ستة 	 number 
 sixteen ; 16 ; xvi 	 ستة عشر 	 number 
 sixty ; 60 ; lx ; threescore 	 ستون 	 number 
 size 	 حجم 	 physics 
 skid ; slip ; sideslip 	 قسيمة 	 abstract 
 skill ; science 	 براعه، حِذق 	 sports 
 skin ; peel ; pare 	 قشر 	 verb 
 skin ; tegument ; cutis 	 جلد 	 anatomy 
 skirt 	 تنورة 	 clothes 
 sky 	 سماء 	 nature 
 sleep ; slumber 	 نوم 	 nature 
 slow 	 بطيء 	 adjective 
 slowly ; slow ; easy ; tardily 	 ببطء 	 adverb 
 small ; little 	 صغير 	 adjective 
 smash ; nail ; boom ; blast 	 اصطدم 	 verb 
 smell 	 أصدر رائحة بشعة 	 verb 
 smell 	 أصدر رائحة طيبة 	 verb 
 smell 	 شم 	 verb 
 smile 	 ابتسم 	 verb 
 smile ; smiling ; grin ; grinning 	 ابتسامة 	 abstract 
 smoke 	 دخن 	 verb 
 smoke ; fume 	 دخان 	 nature 
 smooth 	 مصقول 	 adjective 
 snake ; serpent ; ophidian 	 أفعى 	 animal 
 snog ; kiss ; buss ; osculate 	 قبل 	 verb 
 snow 	 أثلج 	 verb 
 snow 	 ثلج 	 nature 
 snow ; snowfall 	 ثلج 	 nature 
 so 	 جداً 	 adverb 
 soap 	 صابون 	 material 
 soap ; lather 	 أرغى 	 verb 
 society 	 مجمتع 	 society 
 sock 	 جورب 	 clothes 
 soft 	 ناعم 	 adjective 
 soldier 	 جندي 	 profession 
 solid 	 صلب 	 adjective 
 sometimes 	 أحيانا 	 adverb 
 son ; boy 	 ابن 	 family 
 song ; vocal 	 أغنية 	 art 
 soon ; shortly ; presently ; before long 	 قريبا، عما قريب 	 adverb 
 sound 	 صوت 	 nature 
 soup 	 حساء 	 food 
 south 	 جنوبي 	 adjective 
 south ; due south ; southward ; S 	 جنوب 	 logistics 
 space ; infinite 	 فضاء 	 mathematics 
 sparse ; thin 	 نحيل 	 adjective 
 specific 	 معين، محدد، خاص 	 adjective 
 speech ; speech communication ; spoken communication ; spoken language ; language ; voice communication ; oral communication 	 حديث 	 linguistics 
 spelling 	 تهجِئه 	 linguistics 
 spend ; pass 	 يقضي 	 verb 
 spill ; tumble ; fall 	 سقوط 	 abstract 
 spoon 	 ملعقة 	 food 
 spring 	 نابض 	 object 
 spring ; fountain ; outflow ; outpouring ; natural spring 	 نبع 	 nature 
 spring ; springtime 	 ربيع 	 nature 
 square 	 مربع 	 adjective 
 square ; foursquare 	 مربع 	 mathematics 
 square ; second power 	 مربع 	 mathematics 
 squash ; crush ; squelch ; mash ; squeeze 	 سحق ; ضغط 	 verb 
 staff 	 هيئه، طاقم 	 society 
 stage 	 منصة 	 object 
 stalk ; stem 	 جذع 	 nature 
 stamp 	 دمغة 	 object 
 stand ; stand up 	 يقِف 	 verb 
 standard 	 نموذجي، موحد، عادي 	 adjective 
 standard ; criterion ; measure ; touchstone 	 مقدار معين من 	 communication 
 star 	 نجمة 	 nature 
 state 	 حاله 	 mathematics 
 state 	 دوله، وِلايه 	 society 
 state ; province 	 ولاية 	 society 
 state ; say ; tell 	 قال 	 verb 
 statement 	 تصريح 	 communication 
 station 	 محطة 	 society 
 stay ; remain ; rest 	 يبقى، يمكث 	 verb 
 steal 	 سرق 	 verb 
 steam 	 بخار 	 physics 
 steel 	 فولاذ 	 material 
 step ; stair 	 سلم 	 house 
 stick 	 عود 	 object 
 still 	 دائماً 	 adverb 
 stitch 	 غرزة 	 medicine 
 stomach ; tummy ; tum ; breadbasket 	 معدة 	 anatomy 
 stop ; halt 	 توقف 	 abstract 
 stop ; halt 	 توقف 	 verb 
 straight 	 مستقيم 	 adjective 
 strange ; unusual 	 غريب 	 adjective 
 stream ; flow ; current 	 تيار 	 nature 
 street 	 شارع 	 city 
 stretch 	 مسافة واسعة 	 art 
 strong 	 قوي 	 adjective 
 structure 	 هيكلية 	 linguistics 
 structure ; construction 	 بنية 	 house 
 student ; pupil ; educatee 	 تلميذ 	 profession 
 study 	 درس 	 verb 
 stupid 	 غبي 	 adjective 
 style 	 نمط 	 art 
 stylish ; fashionable 	 أنيق، على الطِراز 	 adjective 
 subject ; dependent 	 تابع 	 adjective 
 subject ; topic ; theme 	 موضوع 	 linguistics 
 subsequently ; later ; afterwards ; afterward ; after ; later on 	 فيما بعد 	 adverb 
 substitution ; exchange ; commutation 	 استبدال 	 abstract 
 success 	 نجاح 	 society 
 successful 	 ناجِح 	 adjective 
 such 	 هكذا 	 adverb 
 sudden 	 فجائي 	 adjective 
 suddenly ; all of a sudden ; of a sudden 	 فجأة (faj’áa) 	 adverb 
 suffer ; endure 	 تألم (ta’állama) 	 verb 
 sugar ; refined sugar 	 سكر 	 food 
 sugar ; saccharify 	 حلى 	 verb 
 suggestion ; proposition ; proffer 	 اقتراح 	 abstract 
 sum ; amount ; total 	 مبلغ 	 mathematics 
 summation ; addition ; plus 	 إضافة ; جمع 	 mathematics 
 summer ; summertime 	 صيف 	 nature 
 sun ; Sun 	 شمس 	 nature 
 supermarket 	 سوبرماركِت: متجر كبير تباع فيه السِلع بطريقة ال 	 city 
 supply ; provide ; render ; furnish 	 يزوِد، يعطي 	 verb 
 support 	 دعم 	 abstract 
 support ; back up 	 دعم 	 verb 
 surely ; certainly ; sure ; for sure ; for certain ; sure enough ; sure as shooting 	 بالتأكيد 	 adverb 
 surface 	 سطح خارِجي 	 mathematics 
 surprise 	 فاجأ 	 verb 
 surprise 	 مفاجأة 	 abstract 
 surrender ; give up 	 استسلم (istáslama) 	 verb 
 survive ; last ; live ; live on ; go ; endure ; hold up ; hold out 	 دام 	 verb 
 sweet 	 حلو 	 adjective 
 sweet ; sweetness ; sugariness 	 حلاوة 	 food 
 swim 	 سبح 	 verb 
 system ; scheme 	 نظام 	 linguistics 
 table 	 طاولة 	 house 
 table ; tabular array 	 مصفوفة 	 object 
 tail 	 ذيل 	 anatomy 
 take ; get hold of 	 أخذ 	 verb 
 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 تحدث 	 verb 
 tall 	 طويل 	 adjective 
 taste ; gustation ; sense of taste ; gustatory modality 	 مذاق 	 nature 
 taste ; savor ; savour 	 تذوق 	 verb 
 tax ; taxation ; revenue enhancement 	 ضريبة 	 business 
 tea 	 شاي 	 food 
 teach ; learn ; instruct 	 علم 	 verb 
 teacher ; instructor 	 معلم 	 profession 
 team ; squad 	 فريق 	 society 
 technology ; engineering 	 تكنولوجيا 	 society 
 television camera ; tv camera ; camera 	 آلة تصوير 	 object 
 television receiver ; television ; television set ; tv ; tv set ; idiot box ; boob tube ; telly ; goggle box 	 التلفاز 	 device 
 ten ; 10 ; x 	 عشرة 	 number 
 tendency ; trend 	 مَيْل 	 abstract 
 tennis ; lawn tennis 	 كرة المضرب 	 sports 
 test ; prove ; try ; try out ; examine ; essay 	 جرب 	 verb 
 testify ; bear witness ; prove ; evidence ; show 	 يبرهِن 	 verb 
 than 	 من 	 conjunction 
 thank ; give thanks 	 يشكر 	 verb 
 that 	 ذلك / تلك 	 pronoun 
 that 	 ذلك / تلك 	 pronoun 
 the 	 ال 	 article 
 theater ; theatre ; house 	 مسرح 	 city 
 their 	 ـهم 	 pronoun 
 them 	 ـهم 	 pronoun 
 then ; so ; and so ; and then 	 ثم 	 adverb 
 theory 	 نظرية 	 education 
 there ; at that place ; in that location 	 هناك 	 adverb 
 therefore ; hence ; thence ; thus ; so 	 لِذلِك 	 adverb 
 these 	 هؤلاء / هذه 	 pronoun 
 they 	 هم 	 pronoun 
 thick 	 سميك 	 adjective 
 thick 	 كثيف 	 adjective 
 thin 	 نحيف 	 adjective 
 thin ; lean 	 نحيل 	 adjective 
 thing 	 شيء 	 object 
 thirsty 	 عطشان 	 adjective 
 thirteen ; 13 ; xiii 	 ثلاثة عشر 	 number 
 thirty ; 30 ; xxx 	 ثلاثون 	 number 
 this 	 هذا / هذه 	 pronoun 
 thorax ; chest ; pectus 	 صدر 	 anatomy 
 those 	 أولئك / هذه 	 pronoun 
 thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard 	 ألف 	 number 
 thousand ; one thousand ; 1000 ; m ; k 	 ألف 	 number 
 three ; 3 ; iii 	 ثلاثة 	 number 
 throat ; pharynx 	 بلعوم 	 anatomy 
 throw 	 رمى 	 verb 
 throw 	 طرح، إلقاء، رمي 	 sports 
 thumb ; pollex 	 إبهام 	 anatomy 
 ticket 	 بطاقة مخالفه 	 object 
 ticket 	 تذكرة 	 object 
 tight 	 محكم 	 adjective 
 time period ; period of time ; period 	 فتره 	 time 
 tired 	 متعب 	 adjective 
 title 	 عنوان 	 society 
 to 	 إلى 	 preposition 
 today 	 اليوم 	 adverb 
 toe 	 إبهام الرجل 	 anatomy 
 together 	 معاً 	 adverb 
 toilet ; lavatory ; lav ; can ; john ; privy ; bathroom 	 مرحاض 	 house 
 tomato 	 طماطم 	 food 
 tomato ; love apple ; tomato plant ; Lycopersicon esculentum 	 طماطم ؛ بندورة 	 food 
 tomorrow 	 غد 	 time 
 tomorrow 	 غداً 	 adverb 
 tongue ; lingua ; glossa ; clapper 	 لسان 	 anatomy 
 tonight ; this evening ; this night 	 الليلة (al-léila) 	 adverb 
 tooth 	 سن 	 anatomy 
 topographic point ; place ; spot 	 موقع 	 abstract 
 torso ; trunk ; body 	 جسم ; جسد 	 anatomy 
 touch ; touching 	 لمس 	 abstract 
 town 	 مدينة 	 society 
 trace ; draw ; line ; describe ; delineate 	 يرسم 	 verb 
 track ; rail ; rails ; runway 	 سكة ; سكة حديدية 	 transport 
 trade 	 تجارة 	 business 
 trade ; merchandise 	 تاجر 	 verb 
 train ; develop ; prepare ; educate 	 درب 	 verb 
 train ; railroad train 	 قطار 	 transport 
 training ; preparation ; grooming 	 تدريب 	 abstract 
 transport ; carry 	 النقل 	 verb 
 transport ; send ; ship 	 نقل 	 verb 
 transportation ; shipping ; transport 	 نقل 	 transport 
 travel ; go ; move ; locomote 	 ذهب 	 verb 
 treat ; care for 	 يعالِج 	 verb 
 treatment ; handling 	 تدبير 	 abstract 
 tree 	 شجرة 	 house 
 tremble ; shiver ; shake 	 اهتزاز 	 abstract 
 trick 	 خدعة 	 abstract 
 trouble ; problem 	 صعوبة 	 abstract 
 true 	 حقيقي 	 adjective 
